jersey_no,name,min,fieldgoal_ma,fieldgoal_pct,2pt_ma,2pt_pct,3pt_ma,3pt_pct,freethrow_ma,freethrow_pct,rebound_or,rebound_dr,rebound_tot,assist,turnover,steal,block,fouls_pf,fouls_fd,point_diff,points
19,Gerry Abadiano,29:54,7/15,46.7,4/7,57.1,3/8,37.5,5/7,71.4,0,3,3,2,1,1,0,1,4,9,22
17,*Francis Lopez,26:01,5/8,62.5,5/5,100.0,0/3,0.0,0/0,0,0,7,7,4,3,1,1,1,1,-2,10
18,*Harold Alarcon,33:28,4/12,33.3,3/7,42.9,1/5,20.0,1/1,100.0,1,3,4,3,1,1,0,2,2,-2,10
10,*Malick Diouf,33:39,5/11,45.5,5/11,45.5,0/0,0,0/0,0,5,12,17,0,3,3,2,2,5,-1,10
11,Terrence Fortea,10:37,2/5,40.0,1/2,50.0,1/3,33.3,2/2,100.0,0,1,1,0,1,0,0,2,1,6,7
20,Janjan Felicilda,20:56,1/4,25.0,1/3,33.3,0/1,0.0,2/2,100.0,1,5,6,2,2,1,0,1,1,2,4
24,*Sean Aldous Torculas,07:49,1/3,33.3,1/2,50.0,0/1,0.0,0/0,0,0,1,1,0,0,0,0,0,0,-5,2
2,*Reyland Torres,22:04,0/5,0.0,0/4,0.0,0/1,0.0,0/0,0,0,2,2,2,2,0,0,3,1,5,0
13,Mark Belmonte,09:11,0/2,0.0,0/2,0.0,0/0,0,0/0,0,0,0,0,1,0,0,0,0,0,7,0
33,Sean Stark Alter,06:16,0/1,0.0,0/0,0,0/1,0.0,0/0,0,0,1,1,0,0,0,2,3,0,6,0
Team/Coach,,,,,,,,,,,0,0,0,,0,,,0,,,
Totals,,200:00,25/66,37.9,20/43,46.5,5/23,21.7,10/12,83.3,7,35,42,14,13,7,5,15,15,5,65
