"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-03","94.6","2.07","6","Ohtani, Shohei",660271,666205,"walk","ball",,,,,13,"Shohei Ohtani walks.","R","L","L","OAK","LAA","B",,,3,1,2023,"0.67","1.3","-0.58","1.11",,,,1,1,"Top",,,,,669127,,,-8.423703096915093,-137.3344121342241,-9.997531662471953,10.283484800469852,28.242170887648314,-13.739723188532656,"3.56","1.63",,,,"95",2417,"6.5",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.03",,,"0.7",1,0,0,,2,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,,"Standard",142,"-0.025","0.161"
"FF","2023-09-03","95.6","1.99","5.98","Ohtani, Shohei",660271,666205,,"ball",,,,,13,"Shohei Ohtani walks.","R","L","L","OAK","LAA","B",,,2,1,2023,"0.44","1.11","-1.28","1.7",,,,1,1,"Top",,,,,669127,,,-9.621180616053579,-138.71809940617615,-8.199736064924053,7.710662719295427,29.902351069265844,-16.089908340920523,"3.48","1.63",,,,"96.2",2406,"6.7",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"53.81",,,,,,,,2,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,,"Standard",138,"0","0.077"
"SL","2023-09-03","89.5","2.1","5.97","Ohtani, Shohei",660271,666205,,"ball",,,,,13,"Shohei Ohtani walks.","R","L","L","OAK","LAA","B",,,1,1,2023,"0.06","0.49","-0.57","1.04",,,,1,1,"Top",,,,,669127,,,-6.719171662973907,-130.08463529258788,-7.214938388979972,2.026939059263023,26.4028583478178,-25.24637445196325,"3.53","1.59",,,,"89.7",2024,"6.4",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.08",,,,,,,,2,3,"Slider",0,0,0,0,0,0,0,0,,"Standard",121,"0","0.034"
"SI","2023-09-03","94.3","-1.78","5.8","Ohtani, Shohei",660271,661309,"walk","ball",,,,,14,"Shohei Ohtani walks.","R","L","R","OAK","LAA","B",,,3,1,2023,"-1.45","0.44","1.62","1.95",,,,1,5,"Top",,,,,669127,,,12.038038034984876,-136.76950328185603,-5.293825028723326,-20.79395592411982,27.224504245363903,-25.70384916546943,"3.48","1.63",,,,"94.5",2017,"6.3",716731,661309,669127,676116,680869,672478,669397,649557,665923,667670,"54.16",,,"0.7",1,0,0,,36,5,"Sinker",0,3,3,0,3,0,3,0,,"Standard",239,"-0.012","0.161"
"SI","2023-09-03","93.8","-1.89","5.54","Ohtani, Shohei",660271,661309,,"ball",,,,,14,"Shohei Ohtani walks.","R","L","R","OAK","LAA","B",,,2,1,2023,"-1.49","0.41","1.55","2.51",,,,1,5,"Top",,,,,669127,,,12.15913441430661,-136.04992496411157,-2.9954695353549172,-21.11539297963305,28.49914273936614,-26.575112817225666,"3.59","1.69",,,,"93.8",2063,"6.4",716731,661309,669127,676116,680869,672478,669397,649557,665923,667670,"54.12",,,,,,,,36,4,"Sinker",0,3,3,0,3,0,3,0,,"Standard",249,"0","0.077"
"SL","2023-09-03","89","2.23","6.01","Ohtani, Shohei",660271,666205,,"foul",,,,,12,"Shohei Ohtani walks.","R","L","L","OAK","LAA","S",,,1,0,2023,"0.03","0.43","1.29","2.92",,,,1,1,"Top",,,,,669127,,,-2.3493781408639096,-129.68725030137495,-2.4648935792114983,0.8106044573525779,26.210796796130072,-27.04947559228883,"3.48","1.61",113,"71.6",10,"89.1",2046,"6.2",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"54.3",,,,,,,,2,2,"Slider",0,0,0,0,0,0,0,0,,"Standard",111,"0","-0.031"
"FF","2023-09-03","95.5","2.05","5.98","Ohtani, Shohei",660271,666205,,"ball",,,,,11,"Shohei Ohtani walks.","R","L","L","OAK","LAA","B",,,0,0,2023,"0.63","1.27","-1.46","2.84",,,,1,1,"Top",,,,,669127,,,-10.69260103186529,-138.69774127643018,-5.556159198021289,10.44976190004533,29.400046443605675,-14.609981404339955,"3.48","1.56",,,,"96.2",2469,"6.7",716731,666205,669127,676116,680869,672478,669397,649557,665923,667670,"53.84",,,,,,,,2,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,,"Standard",143,"0","0.025"
"CH","2023-09-03","83.4","-2.13","5.55","Ohtani, Shohei",660271,661309,,"swinging_strike",,,,,9,"Shohei Ohtani walks.","R","L","R","OAK","LAA","S",,,2,0,2023,"-1.13","-0.59","0.81","1.58",,,,1,5,"Top",,,,,669127,,,8.944881877014302,-121.26669491882343,-1.5638097748136133,-12.805033589915126,21.88627656261928,-37.928189140805266,"3.48","1.61",,,,"83.4",2235,"6.1",716731,661309,669127,676116,680869,672478,669397,649557,665923,667670,"54.36",,,,,,,,36,3,"Changeup",0,3,3,0,3,0,3,0,,"Standard",287,"0","-0.039"
"CH","2023-09-03","82.4","-2.24","5.49","Ohtani, Shohei",660271,661309,,"ball",,,,,14,"Shohei Ohtani walks.","R","L","R","OAK","LAA","B",,,1,0,2023,"-1.09","-0.62","1.97","1",,,,1,5,"Top",,,,,669127,,,11.62851907694637,-119.46799370265295,-2.4487391814140844,-12.57994722915962,21.734774761249728,-37.885510136748174,"3.62","1.72",,,,"82.3",2317,"6.3",716731,661309,669127,676116,680869,672478,669397,649557,665923,667670,"54.21",,,,,,,,36,2,"Changeup",0,3,3,0,3,0,3,0,,"Standard",294,"0","0.042"
"SI","2023-09-03","93.2","-1.89","5.68","Ohtani, Shohei",660271,661309,,"ball",,,,,14,"Shohei Ohtani walks.","R","L","R","OAK","LAA","B",,,0,0,2023,"-1.43","0.87","1.2","1.43",,,,1,5,"Top",,,,,669127,,,11.045717930868538,-135.165381548781,-7.028591611973834,-19.8995397902474,28.55154124796529,-20.13240707235808,"3.56","1.69",,,,"93.1",2098,"6.4",716731,661309,669127,676116,680869,672478,669397,649557,665923,667670,"54.14",,,,,,,,36,1,"Sinker",0,3,3,0,3,0,3,0,,"Standard",242,"0","0.025"
