"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2023-09-30","90.3","-3.31","5.13","Judge, Aaron",592450,676092,"walk","ball",,,,,14,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","B",,,3,2,2023,"0.2","0.25","1.37","1.94",,664314,518934,2,6,"Top",,,,,682515,,,11.362023559921434,-131.17329175222238,-2.577692294903085,0.15656462013949107,25.341329164367732,-28.8965969240306,"4.05","1.95",,,,"91.7",2421,"7.1",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"53.45",,,"0.7",1,0,0,,52,7,"Cutter",2,3,3,2,3,2,3,2,"Standard","Standard",56,"-0.029","0.299"
"SI","2023-09-30","95.5","-3.51","5.11","Judge, Aaron",592450,676092,,"ball",,,,,13,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","B",,,2,2,2023,"-1.09","0.4","-0.53","1.43",,664314,518934,2,6,"Top",,,,,682515,,,10.233875681170797,-138.72180828841198,-4.984853106322175,-16.158462172980347,26.893918504250365,-26.16083211901776,"4.05","1.89",,,,"95.6",2396,"6.2",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.34",,,,,,,,52,6,"Sinker",2,3,3,2,3,2,3,2,"Standard","Standard",234,"0","0.103"
"FC","2023-09-30","90.2","-3.28","5.03","Judge, Aaron",592450,676092,,"ball",,,,,14,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","B",,,1,2,2023,"0.22","0.27","0.38","1.6",,664314,518934,2,6,"Top",,,,,682515,,,8.622792450647115,-131.1289713787525,-3.183405450041994,0.8765849977921135,25.314612063385816,-28.562584305665116,"4.08","1.92",,,,"90.4",2580,"6.2",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.26",,,,,,,,52,5,"Cutter",2,3,3,2,3,2,3,2,"Standard","Standard",117,"0","0.055"
"ST","2023-09-30","83","-3.33","5.18","Judge, Aaron",592450,676092,,"foul",,,,,13,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","S",,,1,2,2023,"1.37","0.11","-1.24","2.49",,664314,518934,2,6,"Top",,,,,682515,,,2.0973630051089835,-120.95297384511136,0.05196679918224034,13.112003774167162,22.870346448083136,-31.284016142198137,"3.92","1.82",166,"61.1",37,"83.2",2765,"6.3",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.22",,,,,,,,52,4,"Sweeper",2,3,3,2,3,2,3,2,"Standard","Standard",58,"0","0"
"ST","2023-09-30","84","-3.24","5.04","Judge, Aaron",592450,676092,,"blocked_ball",,,,,14,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","B",,,0,2,2023,"1.43","-0.03","2.2","0.79",,664314,518934,2,6,"Top",,,,,682515,,,9.732584084368337,-121.949121446312,-3.3275903682121504,12.259655031974003,24.796533870695953,-31.988461660599935,"4.03","1.94",,,,"83.5",2693,"6.2",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.31",,,,,,,,52,3,"Sweeper",2,3,3,2,3,2,3,2,"Standard","Standard",51,"0","0.028"
"FF","2023-09-30","94.2","-3.41","5.13","Judge, Aaron",592450,676092,,"swinging_strike",,,,,4,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","S",,,0,1,2023,"-0.32","0.97","-0.51","3.25",,664314,518934,2,6,"Top",,,,,682515,,,8.203817765280155,-137.05896852266687,-1.3641580053504438,-5.760579458692836,27.479819696368185,-19.837147153305043,"3.92","1.82",,,,"94",2502,"6",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.53",,,,,,,,52,2,"4-Seam Fastball",2,3,3,2,3,2,3,2,"Standard","Standard",229,"0","-0.098"
"ST","2023-09-30","84","-3.37","5.23","Judge, Aaron",592450,676092,,"called_strike",,,,,14,"Aaron Judge walks.   Estevan Florial to 3rd.    DJ LeMahieu to 2nd.","R","R","R","KC","NYY","S",,,0,0,2023,"1.44","0.19","0.9","2.31",,664314,518934,2,6,"Top",,,,,682515,,,7.005675666420438,-122.19808114516037,-0.7663203686423861,13.07071769545252,23.497939171138594,-30.325618078751013,"4.02","1.94",,,,"83.8",2674,"6.1",716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,"54.38",,,,,,,,52,1,"Sweeper",2,3,3,2,3,2,3,2,"Standard","Standard",69,"0","-0.064"
"FF","2023-09-30","98.2","-2.9","5.41","Judge, Aaron",592450,674444,"strikeout","foul_tip",,,,,14,"Aaron Judge strikes out on a foul tip.","R","R","R","KC","NYY","S",2,,2,2,2023,"-0.56","1.25","1.01","2.84",,,518934,0,1,"Top",,,,,682515,,,12.140505441322317,-142.48594797487982,-4.477469882356901,-10.3240507413225,31.32562882898817,-14.270844971449225,"3.92","1.82",,,,"100.4",2204,"7.6",716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,"52.92",,,"0",1,0,0,,2,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",226,"0.033","-0.314"
"FF","2023-09-30","98.2","-2.92","5.48","Judge, Aaron",592450,674444,,"foul",,,,,2,"Aaron Judge strikes out on a foul tip.","R","R","R","KC","NYY","S",,,2,1,2023,"-0.78","1.21","-0.11","3.82",,,518934,0,1,"Top",,,,,682515,,,9.625832423647882,-142.6501187878914,-1.838598425394376,-12.814885439627762,32.89035414295942,-15.449382133701983,"3.92","1.82",228,"87.2",58,"100.4",2255,"7.6",716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,"52.92",,,,,,,,2,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",224,"0","-0.083"
"FF","2023-09-30","98.4","-3.01","5.4","Judge, Aaron",592450,674444,,"called_strike",,,,,8,"Aaron Judge strikes out on a foul tip.","R","R","R","KC","NYY","S",,,2,0,2023,"-0.71","1.23","-0.27","2.57",,,518934,0,1,"Top",,,,,682515,,,9.26253750892295,-142.88262399444716,-5.1075567109853415,-11.953756727067873,33.76162131093928,-14.359083220729502,"4.07","2",,,,"99.9",2287,"7.3",716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,"53.23",,,,,,,,2,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",228,"0","-0.081"
