jersey_no,name,min,fieldgoal_ma,fieldgoal_pct,2pt_ma,2pt_pct,3pt_ma,3pt_pct,freethrow_ma,freethrow_pct,rebound_or,rebound_dr,rebound_tot,assist,turnover,steal,block,fouls_pf,fouls_fd,pos_neg,points
19,Gerry Abadiano,29:54:00,Jul-15,46.7,04-Jul,57.1,03-Aug,37.5,05-Jul,71.4,0,3,3,2,1,1,0,1,4,9,22
17,*Francis Lopez,26:01:00,05-Aug,62.5,05-May,100,0/3,0,0/0,0,0,7,7,4,3,1,1,1,1,-2,10
18,*Harold Alarcon,33:28:00,04-Dec,33.3,03-Jul,42.9,01-May,20,01-Jan,100,1,3,4,3,1,1,0,2,2,-2,10
10,*Malick Diouf,33:39:00,05-Nov,45.5,05-Nov,45.5,0/0,0,0/0,0,5,12,17,0,3,3,2,2,5,-1,10
11,Terrence Fortea,10:37,02-May,40,01-Feb,50,01-Mar,33.3,02-Feb,100,0,1,1,0,1,0,0,2,1,6,7
20,Janjan Felicilda,20:56,01-Apr,25,01-Mar,33.3,0/1,0,02-Feb,100,1,5,6,2,2,1,0,1,1,2,4
24,*Sean Aldous Torculas,7:49,01-Mar,33.3,01-Feb,50,0/1,0,0/0,0,0,1,1,0,0,0,0,0,0,-5,2
2,*Reyland Torres,22:04,0/5,0,0/4,0,0/1,0,0/0,0,0,2,2,2,2,0,0,3,1,5,0
13,Mark Belmonte,9:11,0/2,0,0/2,0,0/0,0,0/0,0,0,0,0,1,0,0,0,0,0,7,0
33,Sean Stark Alter,6:16,0/1,0,0/0,0,0/1,0,0/0,0,0,1,1,0,0,0,2,3,0,6,0
Team/Coach,,,,,,,,,,,0,0,0,,0,,,0,,,
Totals,,200:00:00,25/66,37.9,20/43,46.5,May-23,21.7,10-Dec,83.3,7,35,42,14,13,7,5,15,15,5,65
