"","Ateneo de Manila University Blue Eagles","University of the Philippines Fighting Maroons"
"POINTS OFF TURNOVERS","12","14"
"POINTS IN THE PAINT","36 (18/31) 58.1","40 (20/40) 50.0"
"2ND CHANCE POINTS","15","15"
"CONTESTED FIELD GOALS","63 (27/67) 40.3","70 (32/81) 39.5"
"BENCH POINTS","38","52"
