,University of the Philippines Fighting Maroons,Ateneo de Manila University Blue Eagles
BIGGEST LEAD,13,5
PERIMETER POINTS,19 (7/27) 25.9,35 (13/42) 31.0
FASTBREAK POINTS,12,5
UNCONTESTED FIELD GOALS,9 (4/7) 57.1,10 (4/6) 66.7
STARTERS POINTS,32,31
